lon,lat,sst,area,par_label
-5.2,35.9,17.1,Westernmost,1
-5.2,36,16.2,Westernmost,1
-5.2,36.1,17,Westernmost,1
-5.1,35.9,17.1,Westernmost,1
-5.1,36,16.6,Westernmost,1
-5,36,16,Westernmost,1
-4.9,36,16.85,Westernmost,1
-4.9,36.1,16,Westernmost,1
-4.8,36,15,Westernmost,1
-4.8,36.1,15.6,Westernmost,1
-4.7,36,15.6,Westernmost,1
-4.7,36.1,16.3,Westernmost,1
-4.6,36,16,Westernmost,1
-4.6,36.1,16.1,Westernmost,1
-4.5,36.2,17,Westernmost,1
-4.4,35.5,16.5,Westernmost,1
-4.4,36.1,16.5,Westernmost,1
-4.3,36.1,18,Westernmost,1
-4.3,36.2,15.9,Westernmost,1
-4.2,36.1,16.3,Westernmost,1
-4.2,36.2,17,Westernmost,1
-4.1,36.1,16.8,Westernmost,1
-4.1,36.2,16.5,Westernmost,1
-4,36.1,17.8,Westernmost,1
-4,36.3,16,Westernmost,1
-3.9,36.1,16,Westernmost,1
-3.9,36.2,16.7,Westernmost,1
-3.9,36.3,15.9,Westernmost,1
-3.8,36.3,16,Westernmost,1
-3.7,36.2,17,Westernmost,1
-3.7,36.3,15.6,Westernmost,1
-3.6,35.8,16.6,Westernmost,1
-3.6,36.4,14.2,Westernmost,1
-3.5,36.1,15.1,Westernmost,1
-3.5,36.2,15,Westernmost,1
-3.4,36.1,16,Westernmost,1
-3.4,36.2,16.5,Westernmost,1
-3.4,36.3,17,Westernmost,1
-3.4,36.4,17,Westernmost,1
-3.3,36.2,16.1,Westernmost,1
-3.3,36.3,16.65,Westernmost,1
-3.2,36.2,17,Westernmost,1
-3.1,36.1,18,Westernmost,1
-3.1,36.2,16,Westernmost,1
-3,36.3,15.3,Westernmost,1
-3,36.4,15.75,Westernmost,1
-2.9,36.2,16.4,Westernmost,1
-2.9,36.4,17,Westernmost,1
-2.8,36.2,18,Westernmost,1
-2.8,36.3,15.4,Westernmost,1
-2.8,36.4,17,Westernmost,1
-2.7,36.2,16,Westernmost,1
-2.7,36.4,16,Westernmost,1
-2.6,36.2,16.65,Westernmost,1
-2.6,36.5,17,Westernmost,1
-2.5,36.3,16,Westernmost,1
-2.5,36.4,16.6,Westernmost,1
-2.4,36.3,17.7,Westernmost,1
-2.4,36.5,16.15,Westernmost,1
-2.3,36.2,16.7,Westernmost,1
-2.3,36.3,16.35,Westernmost,1
-2.3,36.4,17,Westernmost,1
-2.2,36.2,15,Westernmost,1
-2.2,36.4,16,Westernmost,1
-2.1,36.4,15,Westernmost,1
-2.1,36.6,17,Westernmost,1
-2,36.2,15.7,Westernmost,1
-2,36.4,16.6,Westernmost,1
-2,36.5,15.55,Westernmost,1
-2,36.6,15.9,Westernmost,1
-1.9,35.5,18,Westernmost,1
-1.9,36.4,15.1,Westernmost,1
-1.9,36.6,16,Westernmost,1
-1.9,36.7,17,Westernmost,1
-1.9,36.8,17,Westernmost,1
-1.8,36.5,17,Westernmost,1
-1.8,36.7,16,Westernmost,1
-1.7,36.6,16.2,Westernmost,1
-1.7,36.7,18,Westernmost,1
-1.7,36.9,17,Westernmost,1
-1.6,36.3,16.6,Westernmost,1
-1.6,36.4,15,Westernmost,1
-1.6,36.5,16,Westernmost,1
-1.6,37,16.5,Westernmost,1
-1.4,36.4,18,Westernmost,1
-1.4,36.8,16,Westernmost,1
-1.3,36.6,16,Westernmost,1
-1.3,37,14.75,Westernmost,1
-1.2,36.5,16.75,Westernmost,1
-1.2,36.8,16,Westernmost,1
-1.2,36.9,16.15,Westernmost,1
-1.1,36.5,15.5,Westernmost,1
-1.1,36.6,16,Westernmost,1
-1.1,36.7,17,Westernmost,1
-1.1,36.8,16,Westernmost,1
-1,36.5,15,Westernmost,1
-1,36.6,16,Westernmost,1
-0.9,36.6,16.2,Westernmost,1
-0.9,37,16.1,Westernmost,1
-0.9,37.1,16.5,Westernmost,1
-0.8,36.5,17,Westernmost,1
-0.8,36.7,17.549999999999997,Westernmost,1
-0.8,37.3,18,Westernmost,1
-0.7,36.5,16,Westernmost,1
-0.7,36.8,18,Westernmost,1
-0.7,37.5,14.8,Westernmost,1
-0.6,36.5,17,Westernmost,1
-0.6,36.6,15.6,Westernmost,1
-0.6,36.8,16.5,Westernmost,1
-0.6,37.2,15.5,Westernmost,1
-0.6,37.5,16,Westernmost,1
-0.5,36.5,16,Westernmost,1
-0.5,36.6,15,Westernmost,1
-0.5,36.9,17,Westernmost,1
-0.5,37.6,16,Westernmost,1
-0.4,36.9,16,Westernmost,1
-0.3,36.7,15.6,Westernmost,1
-0.3,37.2,15.8,Westernmost,1
-0.2,36.6,16,Westernmost,1
-0.2,36.7,16,Westernmost,1
-0.2,37.3,16.2,Westernmost,1
-0.1,35.9,16.6,Westernmost,1
-0.1,36,16.1,Westernmost,1
-0.1,39,16,Westernmost,1
0,36,16.65,Westernmost,1
0,36.1,16.549999999999997,Westernmost,1
0,36.2,16.6,Westernmost,1
0,36.3,16.6,Westernmost,1
0,36.5,16.65,Westernmost,1
0,36.7,17.1,Westernmost,1
0,36.8,15.3,Westernmost,1
0,37.5,17,Westernmost,1
0,37.9,16.7,Westernmost,1
0,38.1,14,Westernmost,1
0.1,36.2,16.8,Westernmost,1
0.1,36.5,16.4,Westernmost,1
0.1,36.6,18,Westernmost,1
0.1,36.7,15,Westernmost,1
0.1,38.4,16,Westernmost,1
0.2,36.6,16.5,Westernmost,1
0.2,36.7,17,Westernmost,1
0.2,38.3,14.8,Westernmost,1
0.3,36.6,16.7,Westernmost,1
0.3,36.7,16.45,Westernmost,1
0.3,36.8,17.1,Westernmost,1
0.3,36.9,17,Westernmost,1
0.3,37.7,16.2,Westernmost,1
0.3,38.4,16.6,Westernmost,1
0.3,39.7,16,Westernmost,1
0.4,36.3,18,Westernmost,1
0.4,36.5,16,Westernmost,1
0.4,36.7,16,Westernmost,1
0.4,36.8,16.7,Westernmost,1
0.4,36.9,16,Westernmost,1
0.4,37,15,Westernmost,1
0.4,37.5,16,Westernmost,1
0.4,38.6,16.6,Westernmost,1
0.5,36.6,15,Westernmost,1
0.5,36.8,16,Westernmost,1
0.5,36.9,15.4,Westernmost,1
0.6,36.7,16.4,Westernmost,1
0.6,37.1,16,Westernmost,1
0.6,37.8,14.8,Westernmost,1
0.7,36.6,16.1,Westernmost,1
0.7,37.1,16.5,Westernmost,1
0.7,38.7,16.3,Westernmost,1
0.8,36.6,17,Westernmost,1
0.8,37.4,16.6,Westernmost,1
0.8,37.5,16,Westernmost,1
0.9,36.7,18,Westernmost,1
0.9,37.6,17,Westernmost,1
1,36.7,17,Westernmost,1
1,37.4,16.3,Westernmost,1
1,39.1,13.9,Westernmost,1
1.1,36.7,16,Westernmost,1
1.2,36.8,16.1,Westernmost,1
1.2,36.9,17,Westernmost,1
1.2,37.8,16,Westernmost,1
1.2,38.1,16.4,Westernmost,1
1.2,38.4,16,Westernmost,1
1.2,39.9,15,Westernmost,1
1.2,40.2,16,Westernmost,1
1.3,36.9,15.6,Westernmost,1
1.3,37.2,17,Westernmost,1
1.3,38.1,16.7,Westernmost,1
1.3,39.2,16.4,Westernmost,1
1.4,36.7,16.5,Westernmost,1
1.4,36.8,16.5,Westernmost,1
1.4,36.9,17,Westernmost,1
1.4,37.6,18,Westernmost,1
1.4,37.8,15,Westernmost,1
1.4,39.5,15,Westernmost,1
1.5,36.8,17,Westernmost,1
1.5,37,17.15,Westernmost,1
1.5,37.4,17.8,Westernmost,1
1.6,37.1,17,Westernmost,1
1.6,37.7,18,Westernmost,1
1.6,39.4,15.9,Westernmost,1
1.7,38.7,16.75,Westernmost,1
1.8,36.9,16.549999999999997,Westernmost,1
1.8,37,15.7,Westernmost,1
1.8,37.3,18,Westernmost,1
1.9,36.8,17,Westernmost,1
1.9,36.9,15.55,Westernmost,1
1.9,37,16,Westernmost,1
1.9,39.3,16,Westernmost,1
2,36.9,16.5,Westernmost,1
2,37,16.5,Westernmost,1
2,37.3,15,Westernmost,1
2,38.2,15.9,Westernmost,1
2,38.4,16.3,Westernmost,1
2.1,37,16.7,Westernmost,1
2.1,37.1,16,Westernmost,1
2.1,39.4,16.2,Westernmost,1
