"longitude","latitude","sst_celsius"
-9.8,44,14.1
-9.1,45,14.1
-8.4,46,13.7
-7.6,47,13.5
-6.8,48,13
33,34,21.3
33.1,33.8,21.3
33.2,33.8,20.5
33.3,33.6,20
33.5,33.5,18.7
33.5,33.4,18.7
35,35.5,20.5
35.2,35.5,19.8
35.1,35.6,20.5
35.1,35.6,19.4
35.1,35.7,18.7
34.9,35.9,18.2
34.5,35.3,20
34.5,35.2,19.5
34.5,35.1,19.1
34.4,35.1,18.4
34.5,35.1,17.8
34.5,35,17.8
25.8,34.5,20.2
26.4,34.7,18.5
26.4,34.8,17.4
29.3,33.9,19.9
30.1,33.3,17.4
33,33.3,21.2
32.9,33.3,20.7
32.9,33.3,20.6
32.8,33.4,19.5
32.6,33.4,19
32.5,33.5,18.8
30.9,36.3,20.4
30.9,36.2,21
30.8,36.3,20.1
30.5,36.1,19.2
-3.5,36.1,15.1
7.9,43.4,14
7.8,43.4,14.2
7.7,43.5,15
7.6,43.5,16.6
7.5,43.6,16.6
7.4,43.6,16.6
7.9,43.4,13.5
7.9,43.4,14.7
7.8,43.4,15.7
7.7,43.5,16.1
7.6,43.5,16.1
7.5,43.6,16.1
7.4,43.6,16.1
4.1,42.2,14.7
-6.8,49.7,11
-9.4,45.8,14
-7.8,46.7,14
-7.8,34.2,18.9
-7.8,34.2,18.9
-7.8,34.2,18.9
-7.8,34.2,18.9
-7.8,34.2,18.7
-7.8,34.2,18.8
-7.8,34.2,18.8
-7.6,34.1,18.9
-7.6,34.1,18.8
-7.6,34.1,18.8
-7.6,34.1,18.8
-7.6,34.1,18.8
-7.6,34.2,18.8
-7.6,34.2,18.8
-7.6,34.2,18.8
-7.6,34.2,18.8
-7.6,34.2,18.6
-7.3,34.3,18.3
-7.3,34.3,18.4
-7.3,34.3,18.5
-7.3,34.3,18.1
-7.3,34.3,18.1
-7.3,34.3,18.2
-7.2,34.5,18.2
-7.2,34.5,18.2
-7.1,34.6,18.1
-7.1,34.6,18.1
-7.1,34.6,18
-7.1,34.6,18
-7.1,34.6,18
-7.1,34.6,18
-6.9,34.7,18
-6.9,34.7,18
-6.9,34.8,17.9
-6.9,34.8,17.9
-6.9,34.8,17.9
-6.9,34.8,17.9
-6.9,34.8,17.8
-6.8,34.8,17.8
-6.8,34.8,17.8
-6.8,34.8,17.8
-6.8,34.8,17.7
-6.8,34.8,17.8
-6.8,34.8,17.8
-6.7,34.9,17.8
-6.7,34.9,17.8
-6.7,34.9,17.8
-6.7,34.9,17.8
-6.7,34.9,17.9
-6.7,34.9,17.9
-6.7,34.9,17.9
-6.4,35,17.8
-6.4,35,17.9
-6.4,35,18
-6.4,35,17.9
-6.4,35,17.7
-6.4,35,17.6
-6.4,35,17.7
-6.4,35,17.8
-6.4,35,17.8
-6.4,35,17.9
-6.4,35,18
-6.4,35,18
-6.4,35,17.8
-6.4,35,17.8
-6.4,35,17.8
-6.4,34.9,17.8
-6.4,34.9,17.8
-6.5,34.9,17.4
-6.5,34.9,17.5
-6.5,34.9,17.7
-6.5,34.9,17.6
-6.5,34.9,17.7
-6.5,34.9,17.7
-6.5,34.9,17.8
-6.5,34.9,18
-6.5,34.9,17.8
-6.5,34.9,17.8
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.4,34.9,17.7
-6.5,35,17.3
-6.5,35,17.3
-6.5,35,17.3
-6.5,35,17.6
-6.5,35,17.6
-6.5,35,17.7
-6.5,35,17.7
-6.5,35.1,17.5
-6.5,35.1,17.5
-6.5,35.1,17.6
-6.5,35.1,17.6
-6.5,35.1,17.7
-6.5,35.1,17.7
-6.5,35.1,17.5
-6.5,35.1,17.5
-6.5,35.1,17.5
-6.5,35.1,17.5
-6.5,35.1,17.5
-6.5,35.1,17.6
-6.6,35,17.6
-6.6,35,17.5
-6.6,35,17.5
-6.6,35,17.5
-6.6,35,17.6
-6.6,35,17.6
-6.6,35,17.7
-6.6,35,17.8
-6.6,35.1,17.8
-6.6,35.1,17.7
-6.6,35.1,17.7
-6.6,35.1,17.7
-6.6,35.1,17.7
-6.6,35.1,17.6
-6.6,35.2,17.7
-6.6,35.2,17.7
-6.6,35.2,17.6
-6.6,35.2,17.6
-6.6,35.3,17.6
-6.6,35.3,17.4
-6.6,35.3,17.4
-6.6,35.3,17.5
-6.6,35.3,17.3
-6.3,35.5,17.1
-6.3,35.5,17.1
-6.3,35.5,17.2
-6.3,35.5,17.2
-6.2,35.5,17.2
-6.2,35.5,17.1
-6.2,35.5,17
-6.2,35.5,16.9
-6.2,35.5,16.9
-6.2,35.5,16.5
-9.9,37.5,17.5
0.1,38.4,16
-1.6,37,17
-3.8,36.3,17
7.8,43.4,13.9
7.8,43.4,14.1
7.8,43.4,13.9
7.8,43.4,14.1
7.8,43.4,14.2
7.8,43.4,14.2
7.8,43.4,14.2
7.8,43.4,13.8
7.8,43.4,14.1
7.8,43.4,14
7.8,43.4,14
7.8,43.4,13.8
7.8,43.4,13.4
7.8,43.4,13.2
7.8,43.4,13.5
7.8,43.4,13.5
7.8,43.4,13.2
7.8,43.4,13.1
7.8,43.4,13.3
7.8,43.4,13.2
7.8,43.4,13.3
7.8,43.4,13
7.8,43.4,13.2
7.8,43.4,13
7.8,43.4,13.3
7.8,43.4,13.2
7.8,43.4,13.3
7.8,43.4,13.5
